#,title,videoUrl,videoId,publishedAt,position
1,Dawat Ki Mubarak Mehnat Aur Ishq-e-Mustafa ﷺ | Qari Adil Falahi Sahab,https://www.youtube.com/watch?v=MTFP5mvsUYw&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=1,MTFP5mvsUYw,2026-04-06T18:30:34Z,0
2,Hashr ke din La Ilaaha Illallah ka pagda bhaari paayega #qariahsanmohsin,https://www.youtube.com/watch?v=JuLfJPpfXYg&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=2,JuLfJPpfXYg,2026-04-06T13:30:31Z,1
3,Allah ka zikr aur Kalima ki ehmiyat #qariahsanmohsin #prophetmuhammadﷺ,https://www.youtube.com/watch?v=ednEoRMpiFA&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=3,ednEoRMpiFA,2026-04-05T13:30:45Z,2
4,Allah Allah zikr #qariahsanmohsin,https://www.youtube.com/watch?v=UkaefUsdB5Y&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=4,UkaefUsdB5Y,2026-04-04T13:30:39Z,3
5,Sukoon-e-Qalb | Ishq-e-Nabi ﷺ | Heart Touching Naat by Hafiz Affan Sahab,https://www.youtube.com/watch?v=rLevJW7Od9M&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=5,rLevJW7Od9M,2026-04-04T04:30:29Z,4
6,Zikr La Ilaaha Illalla #qariahsanmohsin #prophetmuhammadpeacebeauponhim,https://www.youtube.com/watch?v=7efFRmkTXog&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=6,7efFRmkTXog,2026-04-03T13:30:07Z,5
7,Hum Ko Rasool-e-Paak ﷺ Ki Nisbat Kaafi Hai | Qari Adil Falahi Sahab,https://www.youtube.com/watch?v=egx9Zk5Ctws&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=7,egx9Zk5Ctws,2026-04-03T09:01:01Z,6
8,Zikr ki kasrat ke liye koyi hadd mutayyan nahi hai #prophetmuhammadﷺ #qariahsanmohsin,https://www.youtube.com/watch?v=q26tjd38Oes&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=8,q26tjd38Oes,2026-04-02T13:31:03Z,7
9,Roza ka waqt te hai lekin zikr har waqt har haalat me karsakte hai #prophetmuhammadﷺ,https://www.youtube.com/watch?v=XNQbirPikak&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=9,XNQbirPikak,2026-04-01T13:30:19Z,8
10,Allah ke zikr ki ahmiyat #lailahaillallah #allahuakbar #prophetmuhammadﷺ,https://www.youtube.com/watch?v=R1xgHqoCmTo&list=PLs25xY2yQukORBmZoncdD9iK3XM9Rpag2&index=10,R1xgHqoCmTo,2026-03-31T13:30:30Z,9
