#,title,videoUrl,videoId,publishedAt,position
1,Jamaat ki emhiyat | Ilm seekhne ka mauqa | Moulana Syed Ikramuddin Sahab,https://www.youtube.com/watch?v=hlzthS8srHY&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=1,hlzthS8srHY,2026-03-29T04:30:15Z,0
2,Apne Bachon ke Iman ki Fikar Karein | Importance of Makatib,https://www.youtube.com/watch?v=tA_hp7ltVMo&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=2,tA_hp7ltVMo,2026-03-28T04:30:22Z,1
3,Quran par hi kyu amal karna hai? Zaboor ya Injee ya Taurat par kyu nahi,https://www.youtube.com/watch?v=wR4rkpgv1Vk&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=3,wR4rkpgv1Vk,2026-03-27T04:30:28Z,2
4,Hum kaun hai? Nabi aur Rasool me farq kya hai,https://www.youtube.com/watch?v=uHXkBAdqywc&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=4,uHXkBAdqywc,2026-03-26T04:30:27Z,3
5,Mufti Sayeed Akbar Sahab ka Bayan aur Dua | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=0bB43f212V4&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=5,0bB43f212V4,2025-09-15T09:41:18Z,4
6,Ulama aur Mehmaan ki Shawl Poshi | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=oplkAWyayWk&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=6,oplkAWyayWk,2025-09-15T07:32:45Z,5
7,Nabi ji Nabi ji Pyaare nabi ji Naat | Mohammad Saad | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=3O6HnUWuwZk&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=7,3O6HnUWuwZk,2025-09-15T07:32:37Z,6
8,Naat by Ayesha Tabassum | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=XCVpp5iDKDY&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=8,XCVpp5iDKDY,2025-09-15T07:32:31Z,7
9,Surah Fatiha ke Tilawat by Asmiha Firdous | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=DLmM4RgQiQg&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=9,DLmM4RgQiQg,2025-09-15T07:32:24Z,8
10,Hazrat Moulana Syed Ikramuddin Ahmed Sahab Miftahi Bayan | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep25,https://www.youtube.com/watch?v=uy-5nzIcwZU&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=10,uy-5nzIcwZU,2025-09-15T07:32:16Z,9
11,Hazrat Moulana Syed Saleem Sahab Bayan | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=uUamT8raHYU&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=11,uUamT8raHYU,2025-09-15T07:32:11Z,10
12,Naat by Mohammad Saad Uddin (2) | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=7a5Cy-M6Puo&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=12,7a5Cy-M6Puo,2025-09-15T07:32:04Z,11
13,Bayan by Hazrat Hafiz Jalaluddin Sahab | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=oieJsnDhUB0&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=13,oieJsnDhUB0,2025-09-15T07:31:58Z,12
14,Bayan by Ayesha Tabassum | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=endY3xhdc6I&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=14,endY3xhdc6I,2025-09-15T07:31:52Z,13
15,Bayan by Asmiha Firdous | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=mEvWoQUIvIU&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=15,mEvWoQUIvIU,2025-09-15T07:31:47Z,14
16,Naat by Mohammad Saad Uddin | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025,https://www.youtube.com/watch?v=m2PtOg7GZLU&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=16,m2PtOg7GZLU,2025-09-15T07:31:39Z,15
17,"Mufti Sayeed Akbar Sahab, Ulama | Seerat un Nabi ﷺ Jalsa | Mothe | 13/Sep/2025",https://www.youtube.com/watch?v=H13DZ8elBTM&list=PLs25xY2yQukP1OpWb3hKDEn--LYvz-7LY&index=17,H13DZ8elBTM,2025-09-14T17:28:20Z,16
